,group,year,age,population
2076,20-65,2014,26,742674
2077,20-65,2014,27,786978
2078,20-65,2014,28,763407
2079,20-65,2014,29,779918
2080,20-65,2014,30,791715
2081,20-65,2014,31,721483
2082,20-65,2014,32,698055
2083,20-65,2014,33,711629
2084,20-65,2014,34,671304
2085,20-65,2014,35,666215
2086,20-65,2014,36,644369
2087,20-65,2014,37,677386
2088,20-65,2014,38,663157
2089,20-65,2014,39,645479
2090,20-65,2014,40,628300
2091,20-65,2014,41,647506
2092,20-65,2014,42,640779
2093,20-65,2014,43,634139
2094,20-65,2014,44,584185
2095,20-65,2014,45,592680
2096,20-65,2014,46,583990
2097,20-65,2014,47,602073
2098,20-65,2014,48,596037
2099,20-65,2014,49,621644
2100,20-65,2014,50,661870
2101,20-65,2014,51,677766
2102,20-65,2014,52,699967
2103,20-65,2014,53,722830
2104,20-65,2014,54,687979
2105,20-65,2014,55,679519
2106,20-65,2014,56,649023
2107,20-65,2014,57,643337
2108,20-65,2014,58,597886
2109,20-65,2014,59,611079
2110,20-65,2014,60,554564
2111,20-65,2014,61,575328
2112,20-65,2014,62,567535
2113,20-65,2014,63,556763
2114,20-65,2014,64,570271
2115,20-65,2014,65,470113
2116,65-80,2014,66,413630
2117,65-80,2014,67,394098
2118,65-80,2014,68,255747
2119,65-80,2014,69,290154
2120,65-80,2014,70,256589
2121,65-80,2014,71,326236
2122,65-80,2014,72,422681
2123,65-80,2014,73,423065
2124,65-80,2014,74,442285
2125,65-80,2014,75,446659
2126,65-80,2014,76,441667
2127,65-80,2014,77,341987
2128,65-80,2014,78,268280
2129,65-80,2014,79,190401
2132,0-20,2015,0,463048
2133,0-20,2015,1,471667
2134,0-20,2015,2,487489
2135,0-20,2015,3,470674
2136,0-20,2015,4,465766
2137,0-20,2015,5,479839
2138,0-20,2015,6,477711
2139,0-20,2015,7,441282
2140,0-20,2015,8,431088
2141,0-20,2015,9,398992
2142,0-20,2015,10,400157
2143,0-20,2015,11,382164
2144,0-20,2015,12,365500
2145,0-20,2015,13,351654
2146,0-20,2015,14,362140
2147,0-20,2015,15,366788
2148,0-20,2015,16,390627
2149,0-20,2015,17,408118
2150,0-20,2015,18,443864
2151,20-65,2015,19,464199
2152,20-65,2015,20,483467
2153,20-65,2015,21,511154
2154,20-65,2015,22,548143
2155,20-65,2015,23,584697
2156,20-65,2015,24,613202
2157,20-65,2015,25,640357
2158,20-65,2015,26,679712
2159,20-65,2015,27,701238
2160,20-65,2015,28,744255
2161,20-65,2015,29,721602
2162,20-65,2015,30,738136
2163,20-65,2015,31,747421
2164,20-65,2015,32,679908
2165,20-65,2015,33,658374
2166,20-65,2015,34,672724
2167,20-65,2015,35,634644
2168,20-65,2015,36,629955
2169,20-65,2015,37,608762
2170,20-65,2015,38,641010
2171,20-65,2015,39,627781
2172,20-65,2015,40,610769
2173,20-65,2015,41,595104
2174,20-65,2015,42,612953
2175,20-65,2015,43,607062
2176,20-65,2015,44,601018
2177,20-65,2015,45,552110
2178,20-65,2015,46,560016
2179,20-65,2015,47,551663
2180,20-65,2015,48,567394
2181,20-65,2015,49,560689
2182,20-65,2015,50,584673
2183,20-65,2015,51,622484
2184,20-65,2015,52,635389
2185,20-65,2015,53,657082
2186,20-65,2015,54,678597
2187,20-65,2015,55,644613
2188,20-65,2015,56,636565
2189,20-65,2015,57,606224
2190,20-65,2015,58,599637
2191,20-65,2015,59,555880
2192,20-65,2015,60,567400
2193,20-65,2015,61,513604
2194,20-65,2015,62,532451
2195,20-65,2015,63,525751
2196,20-65,2015,64,515444
2197,20-65,2015,65,526907
2198,65-80,2015,66,434510
2199,65-80,2015,67,379758
2200,65-80,2015,68,362327
2201,65-80,2015,69,235161
2202,65-80,2015,70,267330
2203,65-80,2015,71,235972
2204,65-80,2015,72,297309
2205,65-80,2015,73,384437
2206,65-80,2015,74,382902
2207,65-80,2015,75,397713
2208,65-80,2015,76,400259
2209,65-80,2015,77,392885
2210,65-80,2015,78,303595
2211,65-80,2015,79,236094
2214,0-20,2016,0,409172
2215,0-20,2016,1,462489
2216,0-20,2016,2,471450
2217,0-20,2016,3,487356
2218,0-20,2016,4,470537
2219,0-20,2016,5,465685
2220,0-20,2016,6,479739
2221,0-20,2016,7,477651
2222,0-20,2016,8,441212
2223,0-20,2016,9,431011
2224,0-20,2016,10,398896
2225,0-20,2016,11,400099
2226,0-20,2016,12,382049
2227,0-20,2016,13,365398
2228,0-20,2016,14,351549
2229,0-20,2016,15,362018
2230,0-20,2016,16,366728
2231,0-20,2016,17,390967
2232,0-20,2016,18,409303
2233,20-65,2016,19,445062
2234,20-65,2016,20,464844
2235,20-65,2016,21,483136
2236,20-65,2016,22,510561
2237,20-65,2016,23,547499
2238,20-65,2016,24,583881
2239,20-65,2016,25,612369
2240,20-65,2016,26,639634
2241,20-65,2016,27,678904
2242,20-65,2016,28,700457
2243,20-65,2016,29,743322
2244,20-65,2016,30,720706
2245,20-65,2016,31,736924
2246,20-65,2016,32,746069
2247,20-65,2016,33,678493
2248,20-65,2016,34,656924
2249,20-65,2016,35,671042
2250,20-65,2016,36,632843
2251,20-65,2016,37,628059
2252,20-65,2016,38,606774
2253,20-65,2016,39,638746
2254,20-65,2016,40,625422
2255,20-65,2016,41,608258
2256,20-65,2016,42,592620
2257,20-65,2016,43,610260
2258,20-65,2016,44,604322
2259,20-65,2016,45,598204
2260,20-65,2016,46,549243
2261,20-65,2016,47,556754
2262,20-65,2016,48,548420
2263,20-65,2016,49,563779
2264,20-65,2016,50,556891
2265,20-65,2016,51,580454
2266,20-65,2016,52,617756
2267,20-65,2016,53,630116
2268,20-65,2016,54,651476
2269,20-65,2016,55,672000
2270,20-65,2016,56,637907
2271,20-65,2016,57,629512
2272,20-65,2016,58,598789
2273,20-65,2016,59,591928
2274,20-65,2016,60,547924
2275,20-65,2016,61,558239
2276,20-65,2016,62,504742
2277,20-65,2016,63,522341
2278,20-65,2016,64,515102
2279,20-65,2016,65,504398
2280,65-80,2016,66,514301
2281,65-80,2016,67,423593
2282,65-80,2016,68,369280
2283,65-80,2016,69,351980
2284,65-80,2016,70,227984
2285,65-80,2016,71,257690
2286,65-80,2016,72,226975
2287,65-80,2016,73,285034
2288,65-80,2016,74,368301
2289,65-80,2016,75,365066
2290,65-80,2016,76,376934
2291,65-80,2016,77,377437
2292,65-80,2016,78,367864
2293,65-80,2016,79,282648
2296,0-20,2017,0,394626
2297,0-20,2017,1,408645
2298,0-20,2017,2,462265
2299,0-20,2017,3,471308
2300,0-20,2017,4,487231
2301,0-20,2017,5,470434
2302,0-20,2017,6,465594
2303,0-20,2017,7,479645
2304,0-20,2017,8,477573
2305,0-20,2017,9,441134
2306,0-20,2017,10,430964
2307,0-20,2017,11,398813
2308,0-20,2017,12,400030
2309,0-20,2017,13,381977
2310,0-20,2017,14,365297
2311,0-20,2017,15,351424
2312,0-20,2017,16,361912
2313,0-20,2017,17,366734
2314,0-20,2017,18,391384
2315,20-65,2017,19,410177
2316,20-65,2017,20,445603
2317,20-65,2017,21,465040
2318,20-65,2017,22,483244
2319,20-65,2017,23,510421
2320,20-65,2017,24,547264
2321,20-65,2017,25,583565
2322,20-65,2017,26,611950
2323,20-65,2017,27,639041
2324,20-65,2017,28,678228
2325,20-65,2017,29,699675
2326,20-65,2017,30,742282
2327,20-65,2017,31,719665
2328,20-65,2017,32,735679
2329,20-65,2017,33,744597
2330,20-65,2017,34,677042
2331,20-65,2017,35,655291
2332,20-65,2017,36,669283
2333,20-65,2017,37,630860
2334,20-65,2017,38,625961
2335,20-65,2017,39,604617
2336,20-65,2017,40,636361
2337,20-65,2017,41,623018
2338,20-65,2017,42,605632
2339,20-65,2017,43,589869
2340,20-65,2017,44,607385
2341,20-65,2017,45,601245
2342,20-65,2017,46,595107
2343,20-65,2017,47,546188
2344,20-65,2017,48,553304
2345,20-65,2017,49,544798
2346,20-65,2017,50,559851
2347,20-65,2017,51,552827
2348,20-65,2017,52,575882
2349,20-65,2017,53,612612
2350,20-65,2017,54,624406
2351,20-65,2017,55,645368
2352,20-65,2017,56,665137
2353,20-65,2017,57,630784
2354,20-65,2017,58,621818
2355,20-65,2017,59,590919
2356,20-65,2017,60,583335
2357,20-65,2017,61,539060
2358,20-65,2017,62,548830
2359,20-65,2017,63,495259
2360,20-65,2017,64,511901
2361,20-65,2017,65,504167
2362,65-80,2017,66,493104
2363,65-80,2017,67,501467
2364,65-80,2017,68,412394
2365,65-80,2017,69,358613
2366,65-80,2017,70,341261
2367,65-80,2017,71,220501
2368,65-80,2017,72,247744
2369,65-80,2017,73,217680
2370,65-80,2017,74,272273
2371,65-80,2017,75,351525
2372,65-80,2017,76,346812
2373,65-80,2017,77,355628
2374,65-80,2017,78,354350
2375,65-80,2017,79,342829
2378,0-20,2018,0,361789
2379,0-20,2018,1,394316
2380,0-20,2018,2,408532
2381,0-20,2018,3,462137
2382,0-20,2018,4,471199
2383,0-20,2018,5,487123
2384,0-20,2018,6,470302
2385,0-20,2018,7,465514
2386,0-20,2018,8,479558
2387,0-20,2018,9,477474
2388,0-20,2018,10,441059
2389,0-20,2018,11,430887
2390,0-20,2018,12,398720
2391,0-20,2018,13,399954
2392,0-20,2018,14,381926
2393,0-20,2018,15,365209
2394,0-20,2018,16,351393
2395,0-20,2018,17,362205
2396,0-20,2018,18,368336
2397,20-65,2018,19,393500
2398,20-65,2018,20,411514
2399,20-65,2018,21,445723
2400,20-65,2018,22,464281
2401,20-65,2018,23,482355
2402,20-65,2018,24,509637
2403,20-65,2018,25,546341
2404,20-65,2018,26,582797
2405,20-65,2018,27,611096
2406,20-65,2018,28,638355
2407,20-65,2018,29,677361
2408,20-65,2018,30,698733
2409,20-65,2018,31,741196
2410,20-65,2018,32,718508
2411,20-65,2018,33,734367
2412,20-65,2018,34,743118
2413,20-65,2018,35,675531
2414,20-65,2018,36,653759
2415,20-65,2018,37,667400
2416,20-65,2018,38,628973
2417,20-65,2018,39,623854
2418,20-65,2018,40,602372
2419,20-65,2018,41,634056
2420,20-65,2018,42,620601
2421,20-65,2018,43,602877
2422,20-65,2018,44,587140
2423,20-65,2018,45,604581
2424,20-65,2018,46,598111
2425,20-65,2018,47,591828
2426,20-65,2018,48,543027
2427,20-65,2018,49,549883
2428,20-65,2018,50,540919
2429,20-65,2018,51,555788
2430,20-65,2018,52,548667
2431,20-65,2018,53,571144
2432,20-65,2018,54,607217
2433,20-65,2018,55,618382
2434,20-65,2018,56,639060
2435,20-65,2018,57,658082
2436,20-65,2018,58,623390
2437,20-65,2018,59,613864
2438,20-65,2018,60,582590
2439,20-65,2018,61,574648
2440,20-65,2018,62,530112
2441,20-65,2018,63,539149
2442,20-65,2018,64,485976
2443,20-65,2018,65,501423
2444,65-80,2018,66,493016
2445,65-80,2018,67,481354
2446,65-80,2018,68,488077
2447,65-80,2018,69,400651
2448,65-80,2018,70,347745
2449,65-80,2018,71,330123
2450,65-80,2018,72,213082
2451,65-80,2018,73,237472
2452,65-80,2018,74,208152
2453,65-80,2018,75,259397
2454,65-80,2018,76,335004
2455,65-80,2018,77,328293
2456,65-80,2018,78,334278
2457,65-80,2018,79,331301
